Temperature,n_H,Metallicity,Value
3.1330848583633295,3.837107500892234,-0.9666254422287434,4.2117e-19
3.142643260764096,1.6631076963292806,-0.07692406106625399,2.1276e-21
3.1429975779886035,0.5873771216337118,-1.67513342857941,1.7856e-24
3.1646629678110054,-3.973976602608018,-1.1210959282389785,1.2382e-33
3.177423434217892,3.7906015868316496,-1.0021377259659494,3.7016e-19
3.1775566967718607,-3.017814550714057,-0.923866153517513,1.0748e-31
3.1899572425136156,3.691127540457755,-1.9967819023424078,7.0799e-20
3.212293571344857,-3.966507556224891,-1.9130123933419954,1.3148e-33
3.2291917358284934,1.7887712098783897,-0.08087788478401267,3.5945e-21
3.2359311740410277,3.9863563268669875,-1.9579633793261548,2.9487e-19
3.271804057815622,3.2624469103644578,-0.000732562701239457,6.6797e-19
3.2867692331266034,1.473082899827488,-0.06973741136487654,1.1897e-21
3.301335015033806,3.3733426557989343,-0.04241983306022738,9.0654e-19
3.3292235352273125,0.5452751663754504,-1.6115014283705664,1.8992e-24
3.3318326592703107,-1.1471584665594434,-0.9997635528747034,4.201e-27
3.337721974122225,1.324030504787413,-0.006447868934444343,7.9963e-22
3.344207912369924,-3.9526637767300596,-1.9261466634953504,1.6502e-33
3.353835516894054,-3.6487381804272587,-1.1863295949947266,6.9165e-33
3.355619825159293,2.4293996783082417,-1.9779328508711167,1.6601e-21
3.3615566119985023,-3.9990381098124566,-0.2580667964579878,1.7398e-33
3.3936853283564554,-3.1287036334573064,-0.3923077093496677,9.9283e-32
3.4094837366645083,-1.1705393043764472,-0.3745414477043085,1.4564e-26
3.4184380548317526,-1.9110917563996095,-0.04118251052375537,6.584e-28
3.4298353880307753,0.20300158081893632,-1.092968758472653,9.5344e-25
3.4378739743417954,3.8277373850511163,-0.11084226702614658,4.2747e-18
3.4455651993934175,-1.1751740795073826,-1.634025683017118,1.3863e-27
3.461320856131156,-2.88729026058338,-0.10479557537265066,5.4102e-31
3.46977845060586,-3.032084125358666,-0.10234162030230418,2.3315e-31
3.4806329001125182,3.8140506623905797,-0.23181737594461505,3.4183e-18
3.483698808628895,0.0138049855837315,-1.8298514526326097,1.8778e-25
3.4910179258759917,3.086098510926932,-1.035080575708325,6.2606e-20
3.511429979632785,-3.785879927164796,-1.9841504728043207,4.3679e-33
3.517097752936703,2.5339975693671066,-0.9959431383554165,1.1031e-20
3.5331109854433596,-3.90630150279464,-0.00681029336661123,3.8004e-33
3.5488722843128464,1.1698622639445138,-1.0175302894563862,6.9823e-23
3.557542324406104,-2.169066526955218,-1.7794759954827717,9.1174e-30
3.5794225163756255,2.4211448335667995,-1.7969467743193765,2.8721e-21
3.5827490459428017,2.2424270967250357,-1.3822101398285473,2.5021e-21
3.597810171816266,1.7493948313725873,-0.8675095735053248,9.7692e-22
3.6108379834334197,-2.288643356786579,-1.486324622464799,5.6958e-30
3.618901023669723,-0.9325648018618571,-1.0615482398678455,1.0107e-26
3.6193979787245145,1.3602018093328498,-1.93261221863487,6.4135e-23
3.6425701908720582,1.3151005398113547,-0.2248571735426383,6.8391e-22
3.7104475302788646,-3.534493191870202,-1.9897545719901892,1.7787e-32
3.716723876687677,1.4876551380879264,-0.6322061670415119,6.8969e-22
3.742543560447449,2.6569097869061356,-1.984213796831916,7.8664e-21
3.7512300277294184,2.5008396943215416,-0.3720931614527485,6.2867e-20
3.761962144563163,-1.3287250841706906,-0.038138780366416165,1.2272e-26
3.780991999591829,-1.3005849419317337,-0.7136005741913575,3.3558e-27
3.7877402573413415,0.05280263609533318,-0.48613354957622584,1.8256e-24
3.8303883902863847,-3.791673985203195,-0.01855906190253224,9.011e-33
3.856197457045766,-1.1430654423796716,-1.874335127373603,1.645e-27
3.8610830130110356,1.215172929003776,-1.9678925050296876,5.4205e-23
3.87272128113288,-3.463073601526098,-0.004231802548113079,4.3367e-32
3.8814504121023083,-0.062085644186820985,-0.4436155735206738,1.4049e-24
3.8818157320335187,0.6928282506343483,-1.9916796123104934,5.6137e-24
3.9109919342536767,2.9831254724230067,-0.03501766313714361,1.4952e-18
3.9277595003610117,-1.1818164944809124,-0.001752520807163207,2.3966e-26
3.9435432286122745,-2.4663120745943736,-0.9787494110098549,4.6779e-30
3.963148594125351,2.3803984614701688,-1.9696033901685834,2.8975e-20
